"","name","position","team","xP","assists","bonus","bps","clean_sheets","creativity","element","fixture","goals_conceded","goals_scored","ict_index","influence","kickoff_time","minutes","opponent_team","own_goals","penalties_missed","penalties_saved","red_cards","round","saves","selected","team_a_score","team_h_score","threat","total_points","transfers_balance","transfers_in","transfers_out","value","was_home","yellow_cards","GW"
"17928","Nikola Vlasic","MID","West Ham",1.5,0,0,0,0,0,582,290,0,0,0,0,"2022-03-13T14:00:00Z",0,2,0,0,0,0,29,0,3991,1,2,0,0,20,99,79,56,"True",0,29
"17929","Ellis Simms","FWD","Everton",0,0,0,0,0,0,602,286,0,0,0,0,"2022-03-13T14:00:00Z",0,20,0,0,0,0,29,0,23816,1,0,0,0,-911,0,911,45,"True",0,29
"17930","Ellis Simms","FWD","Everton",0,0,0,0,0,0,602,195,0,0,0,0,"2022-03-17T19:45:00Z",0,14,0,0,0,0,29,0,23816,0,1,0,0,-911,0,911,45,"True",0,29
"17933","Kalvin Phillips","MID","Leeds",0,0,0,0,0,0,191,287,0,0,0,0,"2022-03-13T14:00:00Z",0,15,0,0,0,0,29,0,82900,1,2,0,0,-663,39,702,47,"True",0,29
"17934","Oliver Skipp","MID","Spurs",0,0,0,0,0,0,373,288,0,0,0,0,"2022-03-12T17:30:00Z",0,13,0,0,0,0,29,0,55817,2,3,0,0,-1451,64,1515,44,"False",0,29
"17935","Oliver Skipp","MID","Spurs",0,0,0,0,0,0,373,153,0,0,0,0,"2022-03-16T19:30:00Z",0,4,0,0,0,0,29,0,55817,2,0,0,0,-1451,64,1515,44,"False",0,29
"17936","Ollie Watkins","FWD","Aston Villa",2.3,0,0,7,0,10.6,40,290,2,0,7.8,4,"2022-03-13T14:00:00Z",90,19,0,0,0,0,29,0,869276,1,2,63,2,-81708,34119,115827,75,"False",0,29
"17938","Aaron Lennon","MID","Burnley",3.7,0,0,12,0,2.8,575,282,2,0,0.8,3.6,"2022-03-12T15:00:00Z",90,3,0,0,0,0,29,0,10499,0,2,2,2,-1455,1282,2737,49,"False",0,29
"17940","Kris Moore","DEF","Leeds",0.5,0,0,0,0,0,657,287,0,0,0,0,"2022-03-13T14:00:00Z",0,15,0,0,0,0,29,0,1514,1,2,0,0,-15,95,110,40,"True",0,29
"17941","Davinson Sánchez","DEF","Spurs",1.1,0,0,0,0,0,367,288,0,0,0,0,"2022-03-12T17:30:00Z",0,13,0,0,0,0,29,0,196385,2,3,0,0,-18007,3119,21126,45,"False",0,29
