"","name","position","team","xP","assists","bonus","bps","clean_sheets","creativity","element","expected_assists","expected_goal_involvements","expected_goals","expected_goals_conceded","fixture","goals_conceded","goals_scored","ict_index","influence","kickoff_time","minutes","opponent_team","own_goals","penalties_missed","penalties_saved","red_cards","round","saves","selected","starts","team_a_score","team_h_score","threat","total_points","transfers_balance","transfers_in","transfers_out","value","was_home","yellow_cards","GW"
"10019","Jack Stephens","DEF","Bournemouth",0,0,0,0,0,0,404,0,0,0,0,171,0,0,0,0,"2022-12-31T15:00:00Z",0,7,0,0,0,0,18,0,5221,0,2,0,0,0,-109,50,159,43,"True",0,18
"10028","Lewis Payne","MID","Southampton",0,0,0,0,0,0,647,0,0,0,0,173,0,0,0,0,"2022-12-31T15:00:00Z",0,9,0,0,0,0,18,0,292,0,1,2,0,0,9,31,22,45,"False",0,18
"10030","Anthony Martial","FWD","Man Utd",4,0,0,1,1,13.3,345,0.31389,0.94049,0.6266,0.4318,180,0,0,4.9,0.8,"2022-12-31T12:30:00Z",80,20,0,0,0,0,18,0,633884,1,1,0,35,2,35405,75530,40125,67,"False",0,18
"10031","Ben Davies","DEF","Liverpool",0,0,0,0,0,0,499,0,0,0,0,174,0,0,0,0,"2022-12-30T20:00:00Z",0,10,0,0,0,0,18,0,474,0,1,2,0,0,-3,0,3,40,"True",0,18
"10033","Bryan Mbeumo","FWD","Brentford",1,0,0,5,0,2.3,95,0.04848,0.07558,0.0271,0.8137,179,0,0,1.6,7,"2022-12-30T19:45:00Z",58,19,0,0,0,0,18,0,195940,1,2,0,7,1,-6536,10770,17306,58,"False",0,18
"10034","Naby Keita","MID","Liverpool",2,0,0,4,0,21.1,287,0.0234,0.0478,0.0244,0.034,174,0,0,2.8,3.4,"2022-12-30T20:00:00Z",28,10,0,0,0,0,18,0,4887,0,1,2,3,1,75,232,157,47,"True",0,18
"10038","Amad Diallo","MID","Man Utd",0,0,0,0,0,0,550,0,0,0,0,180,0,0,0,0,"2022-12-31T12:30:00Z",0,20,0,0,0,0,18,0,5240,0,1,0,0,0,-80,0,80,44,"False",0,18
"10040","Marcus Rashford","MID","Man Utd",9.5,0,0,17,0,6.6,335,0.37826,0.65516,0.2769,0.351,180,0,1,10.4,41.6,"2022-12-31T12:30:00Z",45,20,0,0,0,0,18,0,3599459,0,1,0,56,5,504030,522300,18270,68,"False",1,18
"10042","Mateusz Lis","GK","Southampton",0,0,0,0,0,0,421,0,0,0,0,173,0,0,0,0,"2022-12-31T15:00:00Z",0,9,0,0,0,0,18,0,16539,0,1,2,0,0,-156,0,156,40,"False",0,18
"10043","Takehiro Tomiyasu","DEF","Arsenal",0.5,0,0,4,0,0,14,0.00019,0.00019,0,0.7838,172,2,0,0.2,2.2,"2022-12-31T17:30:00Z",30,5,0,0,0,0,18,0,65552,0,4,2,0,0,-2872,260,3132,42,"False",0,18
"10047","Shandon Baptiste","MID","Brentford",0,0,0,0,0,0,94,0,0,0,0,179,0,0,0,0,"2022-12-30T19:45:00Z",0,19,0,0,0,0,18,0,21811,0,2,0,0,0,-1103,34,1137,45,"False",0,18
"10049","Bukayo Saka","MID","Arsenal",8,0,0,23,0,11.3,13,0.06131,0.42851,0.3672,1.1451,172,2,1,7.8,45.2,"2022-12-31T17:30:00Z",90,5,0,0,0,0,18,0,2135609,1,4,2,21,6,126348,153994,27646,80,"False",1,18
"10050","Lloyd Kelly","DEF","Bournemouth",0.5,0,0,10,0,0.5,73,0.03961,0.03961,0,1.4943,171,2,0,1.6,15,"2022-12-31T15:00:00Z",90,7,0,0,0,0,18,0,57247,1,2,0,0,0,231,791,560,43,"True",1,18
"10052","Trent Alexander-Arnold","DEF","Liverpool",6,1,3,26,0,30.6,285,0.04566,0.16786,0.1222,0.9925,174,1,0,7,22.6,"2022-12-30T20:00:00Z",85,10,0,0,0,0,18,0,1791068,1,1,2,17,8,4555,35806,31251,72,"True",0,18
"10054","Mohamed Salah","MID","Liverpool",8,0,0,4,0,11.4,283,0.04975,0.88115,0.8314,0.9925,174,1,0,7.4,11,"2022-12-30T20:00:00Z",90,10,0,0,0,0,18,0,3793703,1,1,2,52,2,181941,194471,12530,128,"True",0,18
"10056","Thomas Partey","MID","Arsenal",2,0,0,7,0,20.7,6,0.02229,0.18379,0.1615,0.6831,172,1,0,4.7,8.2,"2022-12-31T17:30:00Z",73,5,0,0,0,0,18,0,59144,1,4,2,18,1,-1288,2149,3437,48,"False",1,18
"10057","Gavin Bazunu","GK","Southampton",4,0,1,23,0,0,422,0.00209,0.00209,0,1.5336,173,2,0,2.7,27.4,"2022-12-31T15:00:00Z",90,9,0,0,1,0,18,1,69882,1,1,2,0,7,-1411,579,1990,45,"False",0,18
"10060","Mathias Jorgensen","DEF","Brentford",3.5,0,0,21,1,0.3,595,0.00256,0.00256,0,1.2417,179,0,0,2.1,20.4,"2022-12-30T19:45:00Z",90,19,0,0,0,0,18,0,102947,1,2,0,0,6,896,4156,3260,40,"False",0,18
"10062","Lyanco Silveira Neves Vojnovic","DEF","Southampton",1,0,0,10,0,10.3,413,0.00226,0.01786,0.0156,1.5336,173,2,0,2.6,13.4,"2022-12-31T15:00:00Z",90,9,0,0,0,0,18,0,4842,1,1,2,2,1,-1,76,77,44,"False",0,18
"10063","Thomas Strakosha","GK","Brentford",0,0,0,0,0,0,517,0,0,0,0,179,0,0,0,0,"2022-12-30T19:45:00Z",0,19,0,0,0,0,18,0,13634,0,2,0,0,0,-174,60,234,43,"False",0,18
"10064","Jordan Smith","GK","Nott'm Forest",-1,0,0,0,0,0,675,0,0,0,0,177,0,0,0,0,"2023-01-01T16:30:00Z",0,6,0,0,0,0,18,0,140,0,1,1,0,0,95,103,8,40,"True",0,18
"10066","Karl Hein","GK","Arsenal",0.5,0,0,0,0,0,655,0,0,0,0,172,0,0,0,0,"2022-12-31T17:30:00Z",0,5,0,0,0,0,18,0,1363,0,4,2,0,0,18,135,117,40,"False",0,18
"10070","Giulian Biancone","DEF","Nott'm Forest",0,0,0,0,0,0,399,0,0,0,0,177,0,0,0,0,"2023-01-01T16:30:00Z",0,6,0,0,0,0,18,0,4261,0,1,1,0,0,-142,11,153,42,"True",0,18
"10073","William Saliba","DEF","Arsenal",2,0,0,9,0,0.2,26,7e-04,0.129,0.1283,1.1451,172,2,0,1.8,13.4,"2022-12-31T17:30:00Z",90,5,0,0,0,0,18,0,3883623,1,4,2,4,1,1665,74562,72897,53,"False",0,18
"10082","Aaron Ramsdale","GK","Arsenal",3,0,0,15,0,0,15,0.00053,0.00053,0,1.1451,172,2,0,2.3,23.2,"2022-12-31T17:30:00Z",90,5,0,0,0,0,18,3,1353853,1,4,2,0,2,-17148,21408,38556,49,"False",0,18
"10088","Harvey Davies","GK","Liverpool",1,0,0,0,0,0,592,0,0,0,0,174,0,0,0,0,"2022-12-30T20:00:00Z",0,10,0,0,0,0,18,0,2628,0,1,2,0,0,-15,36,51,40,"True",0,18
"10091","Harry Toffolo","DEF","Nott'm Forest",-0.5,0,0,0,0,0,523,0,0,0,0,177,0,0,0,0,"2023-01-01T16:30:00Z",0,6,0,0,0,0,18,0,8854,0,1,1,0,0,-71,39,110,43,"True",0,18
"10092","Jefferson Lerma Solís","MID","Bournemouth",2,0,0,8,0,5.3,64,0.09087,0.09087,0,1.4943,171,2,0,2.8,22.6,"2022-12-31T15:00:00Z",90,7,0,0,0,0,18,0,49010,1,2,0,0,2,-853,569,1422,48,"True",0,18
