"","name","position","team","xP","assists","bonus","bps","clean_sheets","creativity","element","fixture","goals_conceded","goals_scored","ict_index","influence","kickoff_time","minutes","opponent_team","own_goals","penalties_missed","penalties_saved","red_cards","round","saves","selected","team_a_score","team_h_score","threat","total_points","transfers_balance","transfers_in","transfers_out","value","was_home","yellow_cards","GW"
"4260","Konstantinos Tsimikas","DEF","Liverpool",1.8,0,0,0,0,0.7,245,80,0,0,0.6,2.8,"2021-10-16T11:30:00Z",26,18,0,0,0,0,8,0,1372273,5,0,2,1,-105358,33624,138982,40,"False",0,8
"4263","Yoane Wissa","MID","Brentford",3.7,0,0,0,0,0,524,73,0,0,0,0,"2021-10-16T16:30:00Z",0,6,0,0,0,0,8,0,9063,1,0,0,0,3749,4697,948,59,"True",0,8
"4264","Cristiano Ronaldo dos Santos Aveiro","FWD","Man Utd",3.3,0,0,8,0,15.2,579,75,4,0,5.6,4.2,"2021-10-16T14:00:00Z",90,9,0,0,0,0,8,0,3673494,2,4,37,2,-351907,69871,421778,126,"False",0,8
"4265","Donny van de Beek","MID","Man Utd",0.5,0,0,0,0,0,282,75,0,0,0,0,"2021-10-16T14:00:00Z",0,9,0,0,0,0,8,0,9528,2,4,0,0,-264,342,606,57,"False",0,8
"4266","Divock Origi","FWD","Liverpool",1.5,0,0,0,0,0,235,80,0,0,0,0,"2021-10-16T11:30:00Z",0,18,0,0,0,0,8,0,90697,5,0,0,0,-2576,4906,7482,49,"False",0,8
"4269","Kyle Walker-Peters","DEF","Southampton",1,0,0,0,0,0,342,79,0,0,0,0,"2021-10-16T14:00:00Z",0,10,0,0,0,0,8,0,40073,0,1,0,0,280,2543,2263,48,"True",0,8
"4270","Mohamed Elyounoussi","MID","Southampton",2,0,0,-2,1,12.8,517,79,0,0,3.6,0,"2021-10-16T14:00:00Z",90,10,0,0,0,0,8,0,16096,0,1,24,3,1699,4416,2717,55,"True",0,8
"4273","Ibrahima Konaté","DEF","Liverpool",1.5,0,0,0,0,0,243,80,0,0,0,0,"2021-10-16T11:30:00Z",0,18,0,0,0,0,8,0,96617,5,0,0,0,-4435,1612,6047,52,"False",0,8
"4276","Aaron Ramsdale","GK","Arsenal",4.2,0,0,16,0,0,559,71,2,0,1.9,18.6,"2021-10-18T19:00:00Z",90,7,0,0,0,0,8,4,514981,2,2,0,2,188376,206864,18488,46,"True",0,8
"4280","Albert Sambi Lokonga","MID","Arsenal",1.8,0,0,7,0,15,478,71,2,0,1.7,1.8,"2021-10-18T19:00:00Z",45,7,0,0,0,0,8,0,14261,2,2,0,1,-224,1048,1272,49,"True",0,8
"4283","Alexandre Lacazette","FWD","Arsenal",2.5,0,0,28,0,26.8,6,71,1,1,13.1,42,"2021-10-18T19:00:00Z",23,7,0,0,0,0,8,0,80349,2,2,62,5,-1344,1563,2907,83,"True",0,8
"4285","Mohamed Salah","MID","Liverpool",12.5,1,2,43,1,30.5,233,80,0,1,18.6,64,"2021-10-16T11:30:00Z",90,18,0,0,0,0,8,0,5296809,5,0,91,13,306885,317190,10305,127,"False",0,8
"4290","Neco Williams","DEF","Liverpool",2.8,1,0,17,0,11.1,246,80,0,0,3.1,18.2,"2021-10-16T11:30:00Z",7,18,0,0,0,0,8,0,70873,5,0,2,4,6516,11860,5344,39,"False",0,8
