"","position","cost","team","total_points","full_name"
"608","MID",48,"Southampton",9,"Theo Walcott"
"609","GK",43,"Southampton",0,"Alex McCarthy"
"610","MID",48,"Southampton",2,"Oriol Romeu"
"611","MID",53,"Southampton",1,"Nathan Redmond"
"612","MID",47,"Southampton",34,"Stuart S.Armstrong"
"613","MID",52,"Southampton",42,"Mohamed Elyounoussi"
"614","MID",63,"Southampton",90,"James Ward-Prowse"
"615","FWD",54,"Southampton",42,"Adam A.Armstrong"
"616","DEF",44,"Southampton",39,"Kyle Walker-Peters"
"617","DEF",42,"Southampton",20,"Jan Bednarek"
"618","FWD",61,"Southampton",77,"Che Adams"
"619","MID",50,"Southampton",0,"Nathan Tella"
"620","DEF",44,"Southampton",15,"Lyanco Lyanco"
"621","DEF",40,"Southampton",0,"Yan Valery"
"622","MID",45,"Southampton",0,"Will Smallbone"
"623","MID",42,"Southampton",17,"Ibrahima Diallo"
"624","DEF",41,"Southampton",59,"Romain Perraud"
"625","MID",50,"Southampton",20,"Moussa Djenepo"
"626","DEF",44,"Southampton",0,"Tino Livramento"
"627","DEF",43,"Southampton",32,"Mohammed Salisu"
"628","GK",40,"Southampton",0,"Mateusz Lis"
"629","GK",45,"Southampton",70,"Gavin Bazunu"
"630","DEF",45,"Southampton",33,"Armel Bella-Kotchap"
"631","GK",39,"Southampton",0,"Willy Caballero"
"632","MID",51,"Southampton",42,"Joe Aribo"
"633","FWD",53,"Southampton",20,"Sékou Mara"
"634","DEF",40,"Southampton",4,"Juan Larios"
"635","DEF",45,"Southampton",19,"Duje Caleta-Car"
"636","MID",47,"Southampton",21,"Samuel Edozie"
"637","MID",45,"Southampton",0,"Lewis Payne"
"638","MID",45,"Southampton",0,"Ryan Finnigan"
"639","FWD",45,"Southampton",0,"Jimmy Morgan"
"640","MID",52,"Southampton",1,"Mislav Orsic"
"641","MID",50,"Southampton",18,"Carlos Alcaraz"
"642","DEF",45,"Southampton",3,"James Bree"
"643","MID",50,"Southampton",10,"Kamaldeen Kamaldeen"
"644","FWD",55,"Southampton",6,"Paul Onuachu"
