"position","cost","team","total_points","full_name"
"MID",45,"Crystal Palace",1,"David Ozoh"
"MID",45,"Crystal Palace",3,"Naouirou Ahamada"
"FWD",59,"Everton",33,"Neal Maupay"
"GK",39,"Everton",9,"Asmir Begović"
"FWD",49,"Everton",7,"Salomón Rondón"
"DEF",44,"Everton",54,"Seamus Coleman"
"MID",54,"Everton",0,"Andros Townsend"
"DEF",42,"Everton",6,"Michael Keane"
"MID",53,"Everton",2,"Dele Dele"
"GK",44,"Everton",77,"Jordan Pickford"
"MID",48,"Everton",0,"Allan Allan"
"MID",45,"Everton",0,"André André Gomes"
"MID",53,"Everton",28,"Abdoulaye A.Doucouré"
"MID",54,"Everton",88,"Alex Iwobi"
"MID",45,"Everton",0,"Jean-Philippe Gbamin"
"DEF",43,"Everton",13,"Yerry Mina"
"MID",53,"Everton",73,"Demarai Gray"
"MID",49,"Everton",15,"Tom Davies"
"FWD",79,"Everton",25,"Dominic Calvert-Lewin"
"DEF",43,"Everton",12,"Mason Holgate"
"DEF",43,"Everton",4,"Ben Godfrey"
"DEF",43,"Everton",60,"Vitalii Mykolenko"
"DEF",40,"Everton",0,"Jarrad Branthwaite"
"DEF",39,"Everton",24,"Nathan Patterson"
"DEF",40,"Everton",0,"Niels Nkounkou"
"DEF",44,"Everton",70,"James Tarkowski"
"DEF",49,"Everton",70,"Conor Coady"
"DEF",43,"Everton",2,"Rúben Vinagre"
"MID",51,"Everton",59,"Dwight McNeil"
"MID",44,"Everton",0,"Stanley Mills"
"MID",44,"Everton",0,"Lewis Warrington"
"MID",45,"Everton",5,"James Garner"
"MID",48,"Everton",59,"Amadou Onana"
"DEF",40,"Everton",0,"Reece Welch"
"MID",49,"Everton",45,"Idrissa Gueye"
"GK",40,"Everton",0,"Eldin Jakupović"
"DEF",40,"Everton",0,"Kyle John"
"FWD",45,"Everton",2,"Thomas Cannon"
"MID",45,"Everton",0,"Isaac Price"
"FWD",45,"Everton",6,"Ellis Simms"
"DEF",42,"Fulham",4,"Cédric Cédric"
"GK",45,"Fulham",101,"Bernd Leno"
"DEF",43,"Fulham",4,"Shane Duffy"
"MID",47,"Fulham",25,"Tom Cairney"
"DEF",46,"Fulham",87,"Tim Ream"
"MID",47,"Fulham",0,"Anthony Knockaert"
"MID",44,"Fulham",1,"Nathaniel Chalobah"
"MID",54,"Fulham",35,"Neeskens Kebano"
"MID",55,"Fulham",75,"Bobby De Cordova-Reid"
"DEF",44,"Fulham",0,"Joe Bryan"
"GK",40,"Fulham",0,"Paulo Gazzaniga"
"DEF",39,"Fulham",0,"Terence Kongolo"
"DEF",44,"Fulham",30,"Tosin Tosin"
"FWD",68,"Fulham",88,"Aleksandar Mitrović"
"MID",44,"Fulham",70,"Harrison Reed"
"MID",57,"Fulham",23,"Harry Wilson"
"GK",43,"Fulham",7,"Marek Rodák"
"MID",48,"Fulham",0,"Ivan Cavaleiro"
"DEF",44,"Fulham",63,"Kenny Tete"
"MID",43,"Fulham",2,"Josh Onomah"
"DEF",44,"Fulham",70,"Antonee Robinson"
"FWD",54,"Fulham",0,"Rodrigo Muniz"
