id;position;cost;team;total_points;full_name
723;DEF;39;Wolverhampton;11;Toti António Toti
724;MID;50;Wolverhampton;0;Francisco Jorge Chiquinho
725;MID;54;Wolverhampton;50;Adama Adama
726;GK;39;Wolverhampton;0;Matija Šarkić
727;DEF;39;Wolverhampton;0;Yerson Mosquera
728;MID;47;Wolverhampton;49;João Filipe Iria Moutinho
729;DEF;43;Wolverhampton;43;Nathan Collins
730;GK;39;Wolverhampton;0;Jackson Smith
731;DEF;39;Wolverhampton;32;Hugo Bueno
732;MID;44;Wolverhampton;4;Joseph Hodge
733;MID;44;Wolverhampton;1;Connor Ronan
734;MID;44;Wolverhampton;5;Chem Campbell
735;MID;58;Wolverhampton;29;Gonçalo Manuel Guedes
736;MID;48;Wolverhampton;54;Matheus Luiz Matheus
737;FWD;53;Wolverhampton;1;Sasa Kalajdžić
738;FWD;54;Wolverhampton;15;Diego Diego Costa
739;MID;43;Wolverhampton;12;Boubacar Traoré
740;FWD;45;Wolverhampton;0;Nathan Fraser
741;MID;44;Wolverhampton;0;Harvey Griffiths
742;DEF;40;Wolverhampton;1;Dexter Lembikisa
743;FWD;55;Wolverhampton;10;Matheus Cunha
744;MID;45;Wolverhampton;8;Mario Lemina
745;MID;55;Wolverhampton;18;Pablo Sarabia
746;GK;40;Wolverhampton;0;Daniel Bentley
747;MID;45;Wolverhampton;9;João Victor João Gomes
